model,audio,threads,repetition,audio_seconds,inference_seconds,rtf,hypothesis,hypothesis_hash,same_as_threads4_baseline
F32,audio01(dolor toracico).wav,1,1,19.690666666666665,1.0360117909999644,0.05261435829157458,"The patient reports several chest pain that started about 30 minutes ago. The pain becomes stronger, win, he takes a deep breath and he also feels short of breath. He has no knowledge and has not taken any medication today.",7bd5b8000116013116e26c5686a76b274bfcc24006a104ad12cd23e88aa852ef,True
F32,audio01(dolor toracico).wav,1,2,19.690666666666665,0.869476959000167,0.044156806558107074,"The patient reports several chest pain that started about 30 minutes ago. The pain becomes stronger, win, he takes a deep breath and he also feels short of breath. He has no knowledge and has not taken any medication today.",7bd5b8000116013116e26c5686a76b274bfcc24006a104ad12cd23e88aa852ef,True
F32,audio01(dolor toracico).wav,1,3,19.690666666666665,0.8930271249996622,0.04535281309248014,"The patient reports several chest pain that started about 30 minutes ago. The pain becomes stronger, win, he takes a deep breath and he also feels short of breath. He has no knowledge and has not taken any medication today.",7bd5b8000116013116e26c5686a76b274bfcc24006a104ad12cd23e88aa852ef,True
F32,audio01(dolor toracico).wav,2,1,19.690666666666665,0.8413648750001812,0.042729120818671175,"The patient reports several chest pain that started about 30 minutes ago. The pain becomes stronger, win, he takes a deep breath and he also feels short of breath. He has no knowledge and has not taken any medication today.",7bd5b8000116013116e26c5686a76b274bfcc24006a104ad12cd23e88aa852ef,True
F32,audio01(dolor toracico).wav,2,2,19.690666666666665,0.8254207499999211,0.041919390743495454,"The patient reports several chest pain that started about 30 minutes ago. The pain becomes stronger, win, he takes a deep breath and he also feels short of breath. He has no knowledge and has not taken any medication today.",7bd5b8000116013116e26c5686a76b274bfcc24006a104ad12cd23e88aa852ef,True
F32,audio01(dolor toracico).wav,2,3,19.690666666666665,0.7985492089997024,0.04055470657839767,"The patient reports several chest pain that started about 30 minutes ago. The pain becomes stronger, win, he takes a deep breath and he also feels short of breath. He has no knowledge and has not taken any medication today.",7bd5b8000116013116e26c5686a76b274bfcc24006a104ad12cd23e88aa852ef,True
F32,audio01(dolor toracico).wav,4,1,19.690666666666665,0.7990478749998147,0.04058003157163198,"The patient reports several chest pain that started about 30 minutes ago. The pain becomes stronger, win, he takes a deep breath and he also feels short of breath. He has no knowledge and has not taken any medication today.",7bd5b8000116013116e26c5686a76b274bfcc24006a104ad12cd23e88aa852ef,True
F32,audio01(dolor toracico).wav,4,2,19.690666666666665,0.8475968329998977,0.04304561381026025,"The patient reports several chest pain that started about 30 minutes ago. The pain becomes stronger, win, he takes a deep breath and he also feels short of breath. He has no knowledge and has not taken any medication today.",7bd5b8000116013116e26c5686a76b274bfcc24006a104ad12cd23e88aa852ef,True
F32,audio01(dolor toracico).wav,4,3,19.690666666666665,0.822945792000155,0.041793698808241894,"The patient reports several chest pain that started about 30 minutes ago. The pain becomes stronger, win, he takes a deep breath and he also feels short of breath. He has no knowledge and has not taken any medication today.",7bd5b8000116013116e26c5686a76b274bfcc24006a104ad12cd23e88aa852ef,True
F32,audio01(dolor toracico).wav,8,1,19.690666666666665,0.759624167000311,0.03857787955378069,"The patient reports several chest pain that started about 30 minutes ago. The pain becomes stronger, win, he takes a deep breath and he also feels short of breath. He has no knowledge and has not taken any medication today.",7bd5b8000116013116e26c5686a76b274bfcc24006a104ad12cd23e88aa852ef,True
